"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"39489","생활서비스시설_공원_0806","ZON216","생활서비스시설_공원"," "," ","어린이공원(가좌)"," ","",""
"39490","생활서비스시설_공원_0807","ZON216","생활서비스시설_공원"," "," ","어린이공원(궁말)"," ","",""
"39491","생활서비스시설_공원_0809","ZON216","생활서비스시설_공원"," "," ","어린이공원(홍남)"," ","",""
"39492","생활서비스시설_공원_0810","ZON216","생활서비스시설_공원"," "," ","마을마당(까치)"," ","",""
"39493","생활서비스시설_공원_0812","ZON216","생활서비스시설_공원"," "," ","마을마당(장미)"," ","",""
"39494","생활서비스시설_공원_0813","ZON216","생활서비스시설_공원"," "," ","어린이공원(홍연)"," ","",""
"39495","생활서비스시설_공원_0815","ZON216","생활서비스시설_공원"," "," ","마을마당(지용)"," ","",""
"39496","생활서비스시설_공원_0816","ZON216","생활서비스시설_공원"," "," ","마을마당(정원)"," ","",""
"39497","생활서비스시설_공원_0817","ZON216","생활서비스시설_공원"," "," ","마을마당(한솔)"," ","",""
"39498","생활서비스시설_공원_0818","ZON216","생활서비스시설_공원"," "," ","어린이공원(연남)"," ","",""
"39499","생활서비스시설_공원_0819","ZON216","생활서비스시설_공원"," "," ","어린이공원(상암곡)"," ","",""
"39500","생활서비스시설_공원_0821","ZON216","생활서비스시설_공원"," "," ","어린이공원(다람쥐)"," ","",""
"39501","생활서비스시설_공원_0822","ZON216","생활서비스시설_공원"," "," ","도시자연공원(안산<시공원>)"," ","",""
"39502","생활서비스시설_공원_0823","ZON216","생활서비스시설_공원"," "," ","마을마당(인화)"," ","",""
"39503","생활서비스시설_공원_0825","ZON216","생활서비스시설_공원"," "," ","어린이공원(대현)"," ","",""
"39504","생활서비스시설_공원_0826","ZON216","생활서비스시설_공원"," "," ","어린이공원(문화촌)"," ","",""
"39505","생활서비스시설_공원_0827","ZON216","생활서비스시설_공원"," "," ","마을마당(홍은3동424-1)"," ","",""
"39506","생활서비스시설_공원_0829","ZON216","생활서비스시설_공원"," "," ","어린이공원(창천)"," ","",""
"39507","생활서비스시설_공원_0830","ZON216","생활서비스시설_공원"," "," ","마을마당(포방골)"," ","",""
"39508","생활서비스시설_공원_0832","ZON216","생활서비스시설_공원"," "," ","어린이공원(불천)"," ","",""
"39509","생활서비스시설_공원_0833","ZON216","생활서비스시설_공원"," "," ","마을마당(인왕)"," ","",""
"39510","생활서비스시설_공원_0835","ZON216","생활서비스시설_공원"," "," ","어린이공원(남이마을)"," ","",""
"39511","생활서비스시설_공원_0836","ZON216","생활서비스시설_공원"," "," ","어린이공원(연희)"," ","",""
"39512","생활서비스시설_공원_0838","ZON216","생활서비스시설_공원"," "," ","마을마당(정연)"," ","",""
"39513","생활서비스시설_공원_0840","ZON216","생활서비스시설_공원"," "," ","마을마당(고은)"," ","",""
"39514","생활서비스시설_공원_0841","ZON216","생활서비스시설_공원"," "," ","마을마당(홍이)"," ","",""
"39678","생활서비스시설_공원_1761","ZON216","생활서비스시설_공원"," "," ","근린공원(개나리)"," ","",""
