title,link,date,word
반려견 동반 여행 ⑤임실 오수의견관광지,https://www.ilyosisa.co.kr/news/article.html?no=235869,2022.08.01.,"['반려견', '동반', '여행', '임실', '오수의견관광지']"
"마포구, 반려견 위한 '댕댕이놀이터' 개장",http://www.m-i.kr/news/articleView.html?idxno=908515,2022.04.01.,"['마포구', '반려견', '위한', '댕댕이놀이터', '개장']"
"""명덕호수공원 반려견 놀이터 반대"" 민원 폭주에…울산 동구, '사업 재검토'",http://www.iusm.co.kr/news/articleView.html?idxno=941754,2022.03.28.,"['명덕호수공원', '반려견', '놀이터', '반대', '민원', '폭주에', '울산', '동구', '사업', '재검토']"
"반려견과 함께 떠나는 ‘펫캉스’-한국관광공사 선정, 반려견 동반 여행 6곳",http://www.kwangju.co.kr/article.php?aid=1659002400741617314,2022.07.28.,"['반려견과', '함께', '떠나는', '펫캉스', '한국관광공사', '선정', '반려견', '동반', '여행', '곳']"
"울산 동구, 명덕호수공원 내 반려견 놀이터 조성에 주민 호불호 갈려",http://www.iusm.co.kr/news/articleView.html?idxno=941318,2022.03.23.,"['울산', '동구', '명덕호수공원', '내', '반려견', '놀이터', '조성에', '주민', '호불호', '갈려']"
강남3구 변방 ‘베드타운’→ ‘자족도시’ 싹틔워야 한다 <19> 서울시 강동구,http://www.skyedaily.com/news/news_view.html?ID=172407,,"['강남', '구', '변방', '베드타운', '자족도시', '싹틔워야', '한다', '서울시', '강동구']"
함께라 즐거움 두 배... 경기도 반려견 동반 여행지 5곳,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002851892&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2022.07.23.,"['함께라', '즐거움', '두', '배', '경기도', '반려견', '동반', '여행지', '곳']"
반려견 동반 여행 ④의성 펫월드,https://www.ilyosisa.co.kr/news/article.html?no=235758,2022.07.25.,"['반려견', '동반', '여행', '의성', '펫월드']"
[천지포토] '반려견 놀이터',http://www.newscj.com/news/articleView.html?idxno=961127,2022.03.20.,"['천지포토', '반려견', '놀이터']"
'반려견과 함께하기 좋은 여행지' 어디 없을까?,http://www.kidshankook.kr/news/articleView.html?idxno=4118,2022.07.20.,"['반려견과', '함께하기', '좋은', '여행지', '어디', '없을까']"
반려견도 함께 떠나요! 함께라서 더 즐거운 반려견 동반 여행지,https://www.kgnews.co.kr/news/article.html?no=710061,2022.07.19.,"['반려견도', '함께', '떠나요', '함께라서', '더', '즐거운', '반려견', '동반', '여행지']"
울산 동구 명덕호수공원 반려견 놀이터 주민설명회 열어,http://www.ksilbo.co.kr/news/articleView.html?idxno=930273,2022.03.24.,"['울산', '동구', '명덕호수공원', '반려견', '놀이터', '주민설명회', '열어']"
삼선산수목원 인근 '반려견공원' 들어서나,http://www.djtimes.co.kr/news/articleView.html?idxno=93699,2022.07.18.,"['삼선산수목원', '인근', '반려견공원', '들어서나']"
반려견과 함께 여행 즐길 수 있는 '샌프란시스코 숙소와 주요 시설',http://digitalchosun.dizzo.com/site/data/html_dir/2022/08/03/2022080380067.html,2022.08.03.,"['반려견과', '함께', '여행', '즐길', '수', '있는', '샌프란시스코', '숙소와', '주요', '시설']"
반려견 천국 없다고? 오산이다...댕댕이 안고 떠나는 여름여행,https://www.joongang.co.kr/article/25087343,2022.07.16.,"['반려견', '천국', '없다고', '오산이다', '댕댕이', '안고', '떠나는', '여름여행']"
반려인-반려견 놀이터로 '같이가개',http://www.jjn.co.kr/news/articleView.html?idxno=914424,2022.06.28.,"['반려인', '반려견', '놀이터로', '같이가개']"
"국민 4명중 1명 반려동물 키워도…""혐오스런 개 놀이터 안돼""",https://www.joongang.co.kr/article/25102927,2022.06.08.,"['국민', '명중', '명', '반려동물', '키워도', '혐오스런', '개', '놀이터', '안돼']"
"하남시, 반려견 안전사고 예방..동물보호법 위반 집중 단속",http://www.enewstoday.co.kr/news/articleView.html?idxno=1601775,2022.09.26.,"['하남시', '반려견', '안전사고', '예방', '동물보호법', '위반', '집중', '단속']"
"춘천시, 찾아가는 반려견 이동 놀이터 운영",https://www.ekn.kr/web/view.php?key=20220609010001142,2022.06.09.,"['춘천시', '찾아가는', '반려견', '이동', '놀이터', '운영']"
"춘천시, 찾아가는 반려견 이동 놀이터 운영!",https://www.gukjenews.com/news/articleView.html?idxno=2484136,2022.06.08.,"['춘천시', '찾아가는', '반려견', '이동', '놀이터', '운영']"
"전주시, 반려견 놀이터 같이가개 개장",http://www.inews24.com/view/1494936,2022.06.28.,"['전주시', '반려견', '놀이터', '같이가개', '개장']"
